sats,time,long,lat,velocity,heading,height,vert-vel,GPS-Longacc,turn-radius,Centre-Line-Deviation,AbsHead,Longacc,Latacc,rel-height,value
8,74535,118.8020215,31.89480388,71.658,84.63,10.09,-0.072,-0.22,6.00E+02,-3.03E+03,-2075.4,-0.22,-0.17,-0.302,safe
10,83601.7,118.7479344,31.96841843,81.352,79.86,33.01,-0.72,0.14,1.00E+03,-1.34E+03,-1000.1,0.14,-0.04,32.803,safe
9,75655,118.825569,31.88120585,70.592,179.76,14.49,-0.036,-0.01,1.00E+03,-5.89E+03,-1980.2,-0.01,0,5.144,safe
10,80558.5,118.7016662,31.91238183,98.806,299.66,32.08,-0.792,0.02,1.00E+03,4.09E+02,-1140.3,0.02,0,26.047,safe
8,73836.7,118.8167062,31.89628292,29.696,260.64,10.92,0.252,-0.02,5.45E+02,9.34E+01,-1899.4,-0.02,0,0.417,safe
9,80052.8,118.7793368,31.8789445,98.756,282.85,29.5,0.828,0.06,7.48E+02,-5.72E+03,-1157.2,0.06,0.16,22.009,safe
9,80927.5,118.6775788,31.9366497,5.929,239.4,23.31,-0.108,-0.05,9.16E+00,1.88E+03,-1200.6,-0.05,-0.13,15.123,safe
9,80207,118.7569794,31.88005705,106.106,276.42,55.67,1.692,0.02,1.00E+03,-4.82E+03,-1163.6,0.02,-0.04,47.998,safe
6,72634.4,118.8187821,31.89271277,8.416,132.72,9.33,-0.036,0.17,2.85E+01,-2.14E+00,-587.28,0.17,-0.13,-0.117,safe
10,83559,118.7472955,31.9683192,83.116,79.37,33.85,-0.828,0.05,9.92E+02,-1.27E+03,-1000.6,0.05,0.01,33.441,safe
10,80724.7,118.6897269,31.92099625,103.004,332.28,26.49,-0.36,-0.15,1.00E+03,1.54E+03,-1107.7,-0.15,-0.02,20.293,safe
8,74136.1,118.7957894,31.89381983,35.972,224.18,14.41,0.504,-0.03,5.54E+02,-1.86E+03,-1935.8,-0.03,0.14,4.07,safe
9,75533,118.8129568,31.88228623,80.396,83.49,10.49,-0.324,-0.22,3.43E+02,-4.78E+03,-2076.5,-0.22,0.32,4,safe
9,75135.4,118.8061169,31.87025233,74.29,80.11,20.2,1.944,-0.01,8.45E+02,-4.08E+03,-2079.9,-0.01,0.06,12.215,safe
8,74912.4,118.8125293,31.87112817,38.818,254.65,13.03,0.468,-0.11,6.81E+01,-2.70E+03,-1905.4,-0.11,-0.53,5.716,safe
8,75730.9,118.82303,31.87727597,35.057,275.67,13.6,0.396,-0.19,1.22E+02,-6.00E+03,-1524.3,-0.19,-0.11,7.28,safe
10,83428.7,118.7332678,31.9719151,12.707,132.5,28.53,0.324,-0.1,3.94E+01,-1.91E+03,-947.5,-0.1,0.01,28.19,safe
9,75754.2,118.8214789,31.87734693,37.92,284.77,17.1,0.936,0.07,6.40E+01,-5.94E+03,-1515.2,0.07,0.17,9.415,safe
7,74548,118.8036676,31.89529387,45.359,87.28,9.05,-0.252,0.08,2.21E+02,-3.19E+03,-2072.7,0.08,0.29,-0.938,safe
10,83514,118.7369439,31.96948682,50.251,120.59,38.85,0.72,0.03,4.61E+02,-1.57E+03,-959.41,0.03,0.03,38.242,safe
9,75519.8,118.8100657,31.88193825,73.066,82.38,12.19,-0.576,0,1.00E+03,-4.51E+03,-2077.6,0,-0.17,5.32,safe
9,81352,118.676273,31.93615048,0.821,160.36,23.34,0.144,0.23,1.00E+03,1.79E+03,-1279.6,0.23,-0.65,18.122,safe
10,75950.1,118.7985255,31.8757403,108.034,273.32,23,-2.052,-0.08,1.00E+03,-7.54E+03,-1166.7,-0.08,-0.06,16.138,safe
9,75529.6,118.8121613,31.88222647,77.694,81.31,11.05,-0.576,-0.1,1.00E+03,-4.71E+03,-2078.7,-0.1,0.04,4.464,safe
9,80837.1,118.6821334,31.93576435,53.042,336.5,22.82,0.18,0.13,2.56E+02,2.17E+03,-1103.5,0.13,0,12.472,safe
8,84006.1,118.7569959,31.96394283,35.672,187.7,19.33,0.36,0.1,1.27E+02,-2.65E+03,-1252.3,0.1,-0.14,20.361,safe
9,80239.3,118.7471105,31.88137303,104.949,279.99,56.22,0.144,0.01,1.00E+03,-3.89E+03,-1160,0.01,-0.18,48.367,safe
9,74522.4,118.7990157,31.89457778,81.046,84.65,11.61,-0.468,-0.07,4.84E+02,-2.75E+03,-2075.4,-0.07,-0.16,0.704,safe
8,74806.4,118.8084916,31.87932623,48.366,163.04,13.91,-0.144,-0.27,4.53E+02,-3.03E+03,-1997,-0.27,0.21,5.171,safe
7,75235.7,118.8121315,31.87318265,33.156,332.34,13.05,0.36,-0.02,1.33E+02,-4.65E+03,-2187.7,-0.02,0.19,5.688,safe
10,83524.9,118.7386084,31.96879457,66.829,112.1,41.77,0.504,0.2,6.38E+02,-1.41E+03,-967.9,0.2,-0.18,40.553,safe
5,75839.8,118.8194528,31.87832833,81.059,249.72,10.27,-0.972,0.08,1.00E+03,-6.01E+03,-1190.3,0.08,0.01,5.423,safe
10,83522.7,118.7382237,31.96892637,62.014,112.12,41.14,0.54,0,3.40E+02,-1.45E+03,-967.88,0,0.09,40.258,safe
9,75637.4,118.8251221,31.883196,32.158,89.83,10.5,0.036,-0.16,6.53E+01,-5.93E+03,-2070.2,-0.16,-0.33,3.913,safe
9,83421.4,118.7329182,31.97218285,20.905,132.72,27.67,0.324,0.1,1.23E+02,-1.95E+03,-947.28,0.1,-0.01,27.057,safe
9,83303.9,118.7183286,31.97676467,65.656,74.36,8.12,-0.468,0.15,3.33E+02,-2.71E+03,-1005.6,0.15,-0.01,6.222,safe
5,72658,118.818896,31.89360165,23.729,18.77,9.34,-0.072,-0.13,2.33E+01,-3.80E+00,-701.23,-0.13,-0.03,-0.435,safe
9,74419.6,118.791826,31.89025647,7.322,167.65,22.26,-0.396,0.02,4.52E+00,-2.16E+03,-1992.4,0.02,0.1,11.32,safe
8,72800.1,118.8180326,31.89602888,20.789,323.3,11.85,0.396,0.13,3.20E+02,7.81E+01,-756.7,0.13,0.08,-0.012,safe
9,74822.8,118.8093205,31.87715558,53.219,157.2,12.36,0.396,0.08,6.52E+02,-2.95E+03,-2002.8,0.08,0.07,5.985,safe
8,82753.7,118.6691365,31.93882235,93.159,5.78,20.72,0.216,-0.06,6.01E+02,1.54E+03,-1074.2,-0.06,-0.02,16.194,safe
10,83309.8,118.7195853,31.97702457,79.815,77.85,6.96,-0.648,0.06,3.89E+02,-2.83E+03,-1002.2,0.06,0.09,5.259,safe
10,75830.4,118.821226,31.878973,57.022,231.7,15.39,-0.36,-0.02,1.03E+02,-5.86E+03,-1208.3,-0.02,-0.18,7.698,safe
4,72651.8,118.8188062,31.893262,26.451,344.59,9.8,0.324,-0.14,6.65E+02,1.14E+00,-735.41,-0.14,0.07,0.047,safe
10,75414.6,118.8110757,31.87462538,10.907,352.31,14.94,0.108,0.26,7.33E+00,-4.55E+03,-2167.7,0.26,-0.05,7.249,safe
10,82658,118.6749209,31.93521777,56.092,235.79,22.88,-0.54,0.02,1.00E+03,1.66E+03,-1204.2,0.02,-0.09,19.001,safe
4,81209.2,118.6770649,31.93639118,5.426,241.15,23.48,0.756,-0.11,9.33E-01,1.83E+03,-1198.9,-0.11,-0.11,15.286,safe
7,74754.5,118.8078142,31.88129773,63.566,164.43,11.56,-0.18,0.28,1.00E+03,-3.10E+03,-1995.6,0.28,-0.09,3.414,safe
8,75544.2,118.8139984,31.88241308,25.772,80.06,8.85,-0.216,0.25,6.15E+02,-4.88E+03,-2079.9,0.25,0.43,3.385,safe
10,82908.3,118.6802996,31.94992205,51.865,55.04,12.41,0.18,0.07,1.00E+03,7.69E+02,-1025,0.07,-0.28,7.858,safe
9,80236.4,118.7479864,31.8812405,103.823,280.28,55.96,-0.216,0.09,1.00E+03,-3.97E+03,-1159.7,0.09,-0.02,48.312,safe
10,82919.1,118.6818216,31.95073913,61.263,60.71,12.03,0.036,-0.18,1.00E+03,6.26E+02,-1019.3,-0.18,-0.07,7.924,safe
10,75931.4,118.8044906,31.87575512,108.551,266.65,28.16,0.684,-0.08,1.00E+03,-7.43E+03,-1173.4,-0.08,-0.01,20.837,safe
9,74425.3,118.7920393,31.89025822,26.95,50.79,20.95,-1.08,0.27,6.40E+01,-2.17E+03,-2109.2,0.27,0.31,10.344,safe
10,80824.8,118.6834265,31.93385452,84.149,331.16,14.84,-0.036,-0.09,1.00E+03,2.09E+03,-1108.8,-0.09,-0.07,11.472,safe
9,75514.7,118.8090815,31.88181728,58.897,82.36,12.7,-0.324,0.18,7.81E+02,-4.42E+03,-2077.6,0.18,-0.24,5.793,safe
9,80243.3,118.7458926,31.88155082,104.794,279.45,57.05,0.9,-0.01,1.00E+03,-3.78E+03,-1160.6,-0.01,0.1,48.962,safe
9,80033.6,118.7849083,31.87772655,104.826,285.24,23.08,1.116,0.04,1.00E+03,-6.25E+03,-1154.8,0.04,-0.09,15.831,safe
10,80904.9,118.6800765,31.93760917,67.145,247.49,29.57,-0.18,-0.05,1.00E+03,2.12E+03,-1192.5,-0.05,0.12,21.122,safe
7,74728.4,118.8064613,31.8852675,75.682,170.07,7.8,0.216,-0.07,6.82E+02,-3.22E+03,-1989.9,-0.07,0.06,0.9,safe
10,80411.3,118.7227383,31.8924228,112.813,315.3,37.85,-1.836,0.15,1.00E+03,-1.58E+03,-1124.7,0.15,0.04,29.421,safe
9,75140.6,118.8072675,31.87039475,78.35,83.75,22.78,1.584,0.16,1.00E+03,-4.19E+03,-2076.3,0.16,0.21,14.849,safe
8,80839.5,118.6820121,31.93606647,52.334,346.47,23.12,0.252,-0.19,1.37E+02,2.18E+03,-1093.5,-0.19,-0.09,12.652,safe
10,83426.1,118.7331545,31.97200117,24.239,131.84,28.34,0.9,0.2,5.76E+01,-1.92E+03,-948.16,0.2,0.12,27.77,safe
8,74048.1,118.7976814,31.89476648,74.856,252.02,12.61,0.648,-0.28,8.51E+02,-1.68E+03,-1908,-0.28,0.16,2.168,safe
8,81147.5,118.6771707,31.93645142,10.943,238.78,22.94,0.216,0.02,2.12E+01,1.84E+03,-1201.2,0.02,0.01,15.168,safe
6,74145.7,118.7948899,31.89292803,52.987,218.84,15.04,-0.18,-0.06,4.29E+02,-1.95E+03,-1941.2,-0.06,-0.27,4.863,safe
8,74517.9,118.7979928,31.89442528,75.328,75.05,12.33,-0.756,0.15,6.92E+02,-2.65E+03,-2084.9,0.15,0.04,1.419,safe
10,83519.2,118.737668,31.96914953,57.296,117.71,40.07,0.792,-0.09,1.00E+03,-1.50E+03,-962.29,-0.09,-0.08,39.512,safe
8,83555.3,118.7463479,31.96815828,94.657,78.64,35.28,-1.512,0.14,1.00E+03,-1.19E+03,-1001.4,0.14,-0.37,34.679,safe
10,75849.5,118.8170633,31.87761543,93.64,252.19,10.08,0.036,-0.04,1.00E+03,-6.24E+03,-1187.8,-0.04,0.04,4.775,safe
4,80742,118.687742,31.92515497,105.803,340.98,20.5,-3.312,0.68,2.59E+01,1.69E+03,-1099,0,9.95,19.137,safe
10,82709.1,118.6732254,31.93409682,72.92,229.52,18.13,-1.656,0.14,1.00E+03,1.50E+03,-1210.5,0.14,0.1,14.676,safe
9,75009.1,118.8020645,31.8694054,32.12,252.82,13.73,0.252,0.1,1.80E+02,-3.69E+03,-1907.2,0.1,-0.25,6.187,safe
9,80017.8,118.7896427,31.87672625,107.62,282.31,18.35,0.864,-0.08,1.00E+03,-6.70E+03,-1157.7,-0.08,-0.05,10.932,safe
10,80502.8,118.7129398,31.90305128,101.789,328.68,30.1,-1.332,-0.07,1.00E+03,-6.56E+02,-1111.3,-0.07,-0.06,22.384,safe
10,83651.3,118.7605319,31.96994022,53.488,137.76,27.94,-1.116,0.04,5.82E+01,-2.41E+03,-942.24,0.04,-0.05,25.268,safe
9,80026.4,118.7870511,31.87725453,104.406,283.53,20.64,1.26,-0.04,1.00E+03,-6.45E+03,-1156.5,-0.04,-0.08,13.41,safe
10,80902.3,118.6805373,31.9377694,62.431,248.62,29.41,1.152,0,1.00E+03,2.16E+03,-1191.4,0,-0.23,20.673,safe
8,74536.4,118.8023038,31.89483047,66.724,82.14,9.84,-0.468,0.01,2.53E+02,-3.06E+03,-2077.9,0.01,0.58,-0.392,safe
9,80523.8,118.7094194,31.90731672,96.273,317.49,26.02,1.584,0.02,1.00E+03,-3.23E+02,-1122.5,0.02,0,18.531,safe
6,72630.5,118.8187798,31.89278275,7.012,235.61,9.32,-0.18,0.14,9.62E+00,-2.33E+00,-484.39,0.14,-0.26,-0.056,safe
9,80736.6,118.6883083,31.92382912,105.251,340.44,25.75,-0.216,0.13,1.00E+03,1.67E+03,-1099.6,0.13,-0.05,19.494,safe
9,74923.2,118.8108116,31.87094918,66.649,263.43,16.28,1.764,0.1,1.00E+03,-2.86E+03,-1896.6,0.1,-0.24,8.937,safe
